Date,Open,High,Low,Close*,Adj Close**,Change,Return,Date
17-Sep-21,"34,737.86","34,779.86","34,519.63","34,584.88","34,584.88",-166.44,0,17-Sep-21
20-Sep-21,"34,459.72","34,459.72","33,613.03","33,970.47","33,970.47",-614.41,-0.02,20-Sep-21
21-Sep-21,"34,025.61","34,313.88","33,914.02","33,919.84","33,919.84",-50.63,0,21-Sep-21
22-Sep-21,"34,006.87","34,440.42","34,006.87","34,258.32","34,258.32",338.48,0.01,22-Sep-21
23-Sep-21,"34,296.30","34,879.78","34,296.30","34,764.82","34,764.82",506.5,0.01,23-Sep-21
24-Sep-21,"34,762.31","34,857.06","34,648.08","34,798.00","34,798.00",33.18,0,24-Sep-21
27-Sep-21,"34,739.27","35,061.12","34,739.27","34,869.37","34,869.37",71.37,0,27-Sep-21
28-Sep-21,"34,747.70","34,798.21","34,254.65","34,299.99","34,299.99",-569.38,-0.02,28-Sep-21
29-Sep-21,"34,360.08","34,580.42","34,305.96","34,390.72","34,390.72",90.73,0,29-Sep-21
30-Sep-21,"34,467.98","34,557.37","33,833.32","33,843.92","33,843.92",-546.8,-0.02,30-Sep-21
1-Oct-21,"33,930.70","34,490.56","33,785.54","34,326.46","34,326.46",482.54,0.01,1-Oct-21
4-Oct-21,"34,312.96","34,410.28","33,821.58","34,002.92","34,002.92",-323.54,-0.01,4-Oct-21
5-Oct-21,"34,035.25","34,490.95","34,035.25","34,314.67","34,314.67",311.75,0.01,5-Oct-21
6-Oct-21,"34,198.96","34,432.68","33,854.69","34,416.99","34,416.99",102.32,0,6-Oct-21
7-Oct-21,"34,509.72","34,975.19","34,509.72","34,754.94","34,754.94",337.95,0.01,7-Oct-21
8-Oct-21,"34,757.57","34,842.62","34,661.95","34,746.25","34,746.25",-8.69,0,8-Oct-21
11-Oct-21,"34,723.79","34,951.35","34,486.51","34,496.06","34,496.06",-250.19,-0.01,11-Oct-21
12-Oct-21,"34,507.15","34,611.24","34,318.94","34,378.34","34,378.34",-117.72,0,12-Oct-21
13-Oct-21,"34,372.71","34,449.83","34,115.10","34,377.81","34,377.81",-0.53,0,13-Oct-21
14-Oct-21,"34,443.22","34,923.83","34,443.22","34,912.56","34,912.56",534.75,0.02,14-Oct-21
15-Oct-21,"35,023.63","35,320.97","35,023.63","35,294.76","35,294.76",382.2,0.01,15-Oct-21
18-Oct-21,"35,221.02","35,327.57","35,035.94","35,258.61","35,258.61",-36.15,0,18-Oct-21
19-Oct-21,"35,325.37","35,462.68","35,290.12","35,457.31","35,457.31",198.7,0.01,19-Oct-21
20-Oct-21,"35,475.16","35,669.69","35,465.71","35,609.34","35,609.34",152.03,0,20-Oct-21
